"Subject","Updating_P1.mistakes","Updating_P1.correct","Updating_P2.mistakes","Updating_P2.correct","updating_P1P2_redSearch","Updating_P1P2.correct","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","boxes_correct_newrange","Boxes_P1.mistakes","Boxes_P1.correct","Grid_Distance","Grid_Distance_newrange","grid_numberAttempts"
"Julia",1,0.666666666666667,1.75,0.416666666666667,2.75,0.541666666666667,-1.75,1.33333333333333,5,1,0.666666666666667,2.33333333333333,1.5,0.25,0.625,0.375,1.03989238858333,0.711585721965011,7.27272727272727
"Kalema",1.75,0.416666666666667,2,0.333333333333333,3.75,0.375,3.25,3.66666666666667,4,NA,1,1,1.25,0.375,0.5,0.5,1.19171358983333,0.669478093685727,8.58333333333333
"Kidogo",1.75,0.416666666666667,1,0.666666666666667,2.75,0.541666666666667,0,3.66666666666667,4,NA,1,1.66666666666667,1.375,0.3125,0.75,0.25,1.06903559366667,0.703502850558301,5.08333333333333
"Kisa",1.25,0.583333333333333,1.75,0.416666666666667,3,0.5,-0.25,1,0,0.666666666666667,1,0,1.25,0.375,0.375,0.625,1.26020145775,0.650482975348289,8.08333333333333
"Kisembo",2.5,0.166666666666667,1.75,0.416666666666667,4.25,0.291666666666667,3.25,4.33333333333333,2,NA,2,1,1.375,0.3125,0.75,0.25,0.652368927,0.819065400267532,4.41666666666667
"Manno",1.5,0.5,1.75,0.416666666666667,3.25,0.458333333333333,-1.25,1.66666666666667,3.66666666666667,0.833333333333333,0.666666666666667,2,1.25,0.375,0.625,0.375,1.275594649,0.646213671918661,4.25
"Mary",2,0.333333333333333,1.5,0.5,3.5,0.416666666666667,0,2.33333333333333,3.66666666666667,1.2,1,1.33333333333333,1.125,0.4375,0.625,0.375,1.22533715118182,0.660152594934361,7.09090909090909
"Mawa",2,0.333333333333333,1.5,0.5,3.5,0.416666666666667,2.5,4,3.33333333333333,NA,1.66666666666667,1,1.5,0.25,0.625,0.375,1.35520046025,0.624134990671329,6
"Medina",2,0.333333333333333,2,0.333333333333333,4,0.333333333333333,3.75,5,5,NA,1.33333333333333,3,1.5,0.25,0.625,0.375,1.30956472,0.636792068674108,9.33333333333333
"Mwanzo",2,0.333333333333333,1.25,0.583333333333333,3.25,0.458333333333333,-0.25,3.66666666666667,3,1.2,1.66666666666667,1,1.375,0.3125,0.75,0.25,0.941713589833333,0.738815623511266,4
"Nakuu",0.5,0.833333333333333,1.25,0.583333333333333,1.75,0.708333333333333,-3,1.66666666666667,1.66666666666667,NA,0.666666666666667,0.666666666666667,1,0.5,0.375,0.625,1.30956472,0.636792068674108,7.75
"Namukisa",1.75,0.416666666666667,1.75,0.416666666666667,3.5,0.416666666666667,3.25,3.66666666666667,5,NA,1.33333333333333,1.5,0.875,0.5625,0.375,0.625,1.01967233141667,0.717193757232482,11
"Nani",1,0.666666666666667,1.5,0.5,2.5,0.583333333333333,0.5,1.33333333333333,3.66666666666667,NA,1,1,1.125,0.4375,0.375,0.625,1.08925565083333,0.69789481529083,9.25
"Niyonkuru",1.25,0.583333333333333,1,0.666666666666667,2.25,0.625,-2.5,1.66666666666667,2.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667,1.125,0.4375,0.5,0.5,1.17204125841667,0.674934217151091,13.25
"Nkuumwa",1.25,0.583333333333333,1.25,0.583333333333333,2.5,0.583333333333333,0.75,2.33333333333333,2.66666666666667,NA,0.666666666666667,1.33333333333333,1,0.5,0.5,0.5,0.7011844635,0.805526405395458,3.58333333333333
"Okech",0.75,0.75,1,0.666666666666667,1.75,0.708333333333333,-1.75,4,5,NA,1.66666666666667,2,1,0.5,0.5,0.5,1.29526698041667,0.640757548453297,10
"Oscar",2.5,0.166666666666667,1.75,0.416666666666667,4.25,0.291666666666667,1.75,3.66666666666667,4.33333333333333,1,1.33333333333333,1.66666666666667,1.375,0.3125,0.625,0.375,1.49107685216667,0.586449657162895,8
"Pasa",1.75,0.416666666666667,2,0.333333333333333,3.75,0.375,2.5,4,1.66666666666667,NA,1.66666666666667,1.33333333333333,1.25,0.375,0.625,0.375,0.956559055333333,0.734698231883745,5.33333333333333
"Rambo",2.75,0.0833333333333333,2.25,0.25,5,0.166666666666667,5,2.66666666666667,2,NA,1.66666666666667,1.33333333333333,0.875,0.5625,0.25,0.75,1.60760565516667,0.554130379748708,10.5
"Roy",1.75,0.416666666666667,1.75,0.416666666666667,3.5,0.416666666666667,1.25,5,5,0.833333333333333,2,3,0.75,0.625,0.375,0.625,1.3632071225,0.621914341941079,6.08333333333333
"Safari",0.5,0.833333333333333,NA,NA,2,0.666666666666667,-4,3,2.33333333333333,NA,1,1.66666666666667,1.125,0.4375,0.625,0.375,1.08793332383333,0.698261562842036,4.63636363636364
"Sally",2,0.333333333333333,1.75,0.416666666666667,3.75,0.375,2.5,2,4.33333333333333,NA,1.33333333333333,1,1.125,0.4375,0.75,0.25,1.32386245966667,0.632826588871807,11
"Sara",0.75,0.75,1,0.666666666666667,1.75,0.708333333333333,-0.333333333333333,2.33333333333333,3.66666666666667,NA,0.666666666666667,1,1.375,0.3125,0.75,0.25,1.32441018541667,0.6326746770697,6.66666666666667
"Tess",1.25,0.583333333333333,1,0.666666666666667,2.25,0.625,-2.75,2.33333333333333,3,1.33333333333333,1,1.66666666666667,1.5,0.25,0.75,0.25,1.83980726908333,0.489729234426768,9.83333333333333
"Tumbo",1.25,0.583333333333333,1.5,0.5,2.75,0.541666666666667,1,2.33333333333333,5,NA,1.33333333333333,1.33333333333333,1.375,0.3125,0.75,0.25,1.79526698033333,0.502082488825333,10
"Umugenzi",1,0.666666666666667,1,0.666666666666667,2,0.666666666666667,0,0.666666666666667,4.66666666666667,NA,0.333333333333333,2,1,0.5,0.5,0.5,0.922588984166667,0.744119835174522,11
"Umutama",1.5,0.5,1.5,0.5,3,0.5,3,1.33333333333333,3.66666666666667,NA,0.666666666666667,2,1.25,0.375,0.5,0.5,1.58753097627273,0.559698094334894,6.81818181818182
"Uruhara",1,0.666666666666667,2,0.333333333333333,3,0.5,-0.5,4.33333333333333,4.33333333333333,0.666666666666667,1.66666666666667,1.66666666666667,1,0.5,0.5,0.5,1.39212345208333,0.613894394481361,14.0833333333333
"William",1.5,0.5,1.25,0.583333333333333,2.75,0.541666666666667,-1.5,4,3.33333333333333,0.5,1.33333333333333,1,1.25,0.375,0.625,0.375,1.43688672383333,0.601479295721144,9.41666666666667
"Yoyo",0.75,0.75,0.75,0.75,1.5,0.75,-1.5,2,1.66666666666667,NA,1,1,1.375,0.3125,0.75,0.25,1.68721146658333,0.532051698455151,10.75
"Zee",2,0.333333333333333,2.25,0.25,4.25,0.291666666666667,1.75,3.33333333333333,5,1,1.33333333333333,2.33333333333333,1.25,0.375,0.75,0.25,1.20655905525,0.665360702081318,7.41666666666667
