Subject,Site,Gender,Group,Age,Trial,Type,Grid,2ndtask_initial,2ndtask_end,NrUntilfindGrid,choice P2,corr P2,choice01,choice01_x,choice01_y,food_x,food_y,distance_c01,choice1_correct,choice02,choice03,choice04,choice05,choice06,choice07,choice08,choice09,choice10,choice11,choice12,choice13,choice14,choice15,choice16,choice17,choice18,choice19,choice20,choice21,choice22,choice23,choice24,choice25,choice26,choice27,choice28,choice29,choice30,choice31,choice32,choice33,choice34,choice35,choice36,choice37,choice38,choice39,choice40,choice41,choice42,choice43,choice44,choice45,choice46,choice47,choice48,choice49,choice50,choice51,choice52,choice53,choice54,choice55,choice56,choice57,choice58,choice59,choice60
Tumbo,uganda,m,Uganda,30,10,test,8,2,1,4,1,1,16,4,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumbo,uganda,m,Uganda,30,11,test,7,3,1,8,1,1,10,2,3,3,2,1.414213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumbo,uganda,m,Uganda,30,12,test,15,2,3,6,2,0,7,3,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,1,warm-up,8,,,9,,,15,3,4,4,2,2.236067977,0,16,14,13,5,6,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,2,warm-up,3,,,9,,,16,4,4,3,1,3.16227766,0,15,14,13,5,7,16,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,1,test,9,1,2,2,2,1,13,1,4,1,3,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,2,test,6,3,1,7,1,1,13,1,4,2,2,2.236067977,0,9,12,16,14,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,3,test,10,2,3,48,2,0,14,2,4,2,3,1,0,13,9,5,8,7,3,4,8,12,15,5,1,2,3,8,3,6,5,13,15,12,16,15,7,8,7,1,5,13,6,7,8,16,6,13,4,7,3,6,1,5,13,9,14,13,9,10,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,4,test,12,3,2,1,3,0,12,4,3,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,5,test,2,2,1,27,1,1,7,3,2,2,1,1.414213562,0,6,10,11,15,16,14,13,5,6,7,5,8,12,11,16,15,14,13,5,6,7,15,16,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,6,test,11,1,3,32,3,1,13,1,4,3,3,2.236067977,0,16,12,8,7,6,5,7,8,16,15,13,9,5,1,2,3,7,3,4,8,7,6,14,15,16,5,14,13,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruhara,kenya,m,young chimps,29,7,test,5,1,2,1,2,1,5,1,2,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
